Timestamp,what is your favorite color?,2nd favorite,3rd favorite,4th favorite,5th favorite,6th favorite,least favorite
11/5/2022 15:40:33,Green,Pink,Blue,Purple,Yellow,Red,Orange
11/5/2022 15:43:38,Purple,Red,Green,Blue,Pink,Orange,Yellow
11/5/2022 15:52:20,Purple,Green,Yellow,Pink,Blue,Orange,Red
11/5/2022 16:01:13,Red,Purple,Pink,Yellow,Blue,Green,Orange
11/5/2022 23:14:59,Green,Red,Purple,Blue,Orange,Pink,Yellow
11/6/2022 10:19:57,Yellow,Green,Blue,Pink,Purple,Red,Orange
11/6/2022 10:21:59,Purple,Pink,Blue,Red,Yellow,Green,Orange
11/6/2022 10:23:30,Purple,Green,Blue,Pink,Yellow,Red,Orange
11/6/2022 10:23:46,Green,Purple,Red,Blue,Pink,Orange,Yellow
11/6/2022 10:27:25,Purple,Blue,Yellow,Red,Orange,Green,Pink
11/6/2022 10:31:30,Orange,Yellow,Pink,Green,Blue,Purple,Red
11/6/2022 10:52:35,Green,Red,Blue,Orange,Purple,Pink,Yellow
11/6/2022 10:52:55,Pink,Blue,Yellow,Red,Orange,Green,Purple
11/6/2022 11:10:48,Orange,Green,Yellow,Blue,Red,Purple,Pink
11/6/2022 12:51:36,Pink,Purple,Green,Blue,Red,Yellow,Orange
11/6/2022 12:58:23,Green,Blue,Pink,Yellow,Red,Purple,Orange
11/6/2022 16:49:02,Purple,Yellow,Pink,Orange,Blue,Red,Green
11/6/2022 16:49:54,Green,Purple,Blue,Pink,Yellow,Red,Orange
11/6/2022 18:10:59,Red,Yellow,Orange,Pink,Green,Purple,Blue
11/7/2022 2:22:24,Yellow,Green,Red,Blue,Purple,Orange,Pink
11/7/2022 2:27:17,Pink,Blue,Green,Purple,Orange,Red,Yellow
11/7/2022 2:28:19,Pink,Blue,Green,Purple,Orange,Red,Yellow
11/7/2022 8:01:16,Red,Purple,Orange,Blue,Green,Yellow,Pink
11/7/2022 10:21:35,Green,Blue,Purple,Red,Pink,Yellow,Orange
11/7/2022 10:22:16,Blue,Purple,Orange,Green,Red,Pink,Yellow
11/7/2022 10:22:37,Blue,Yellow,Green,Red,Pink,Orange,Purple
11/7/2022 10:22:47,Pink,Blue,Purple,Yellow,Green,Orange,Red
11/7/2022 10:22:55,Purple,Green,Blue,Yellow,Pink,Orange,Red
11/7/2022 10:23:07,Orange,Red,Yellow,Green,Purple,Blue,Pink
11/7/2022 10:23:24,Purple,Blue,Green,Red,Yellow,Pink,Orange
11/7/2022 10:23:24,Blue,Yellow,Green,Purple,Pink,Orange,Red
11/7/2022 10:23:39,Blue,Green,Purple,Red,Pink,Yellow,Orange
11/7/2022 10:24:41,Red,Blue,Yellow,Orange,Pink,Purple,Green
11/7/2022 10:29:22,Purple,Blue,Green,Red,Pink,Orange,Yellow
11/7/2022 10:30:40,Red,Blue,Green,Yellow,Purple,Orange,Pink
11/7/2022 10:38:02,Blue,Yellow,Red,Green,Orange,Purple,Pink
11/7/2022 10:39:52,Blue,Green,Pink,Yellow,Purple,Red,Orange
11/7/2022 10:45:36,Red,Blue,Purple,Green,Yellow,Orange,Pink
11/7/2022 10:49:13,Purple,Red,Blue,Green,Orange,Pink,Yellow
11/7/2022 11:09:28,Orange,Green,Blue,Yellow,Red,Purple,Pink
11/7/2022 11:09:56,Blue,Purple,Red,Orange,Yellow,Pink,Green
11/7/2022 11:29:36,Red,Blue,Green,Purple,Orange,Yellow,Pink
11/7/2022 11:41:27,Blue,Red,Green,Yellow,Purple,Pink,Orange
11/7/2022 12:19:36,Green,Red,Blue,Orange,Yellow,Purple,Pink
