Timestamp,what is your favorite color?,2nd favorite,3rd favorite,4th favorite,5th favorite,6th favorite,least favorite
11/5/2022 15:40:33,Green,Pink,Blue,Purple,Yellow,Red,Orange
11/5/2022 15:43:38,Purple,Red,Green,Blue,Pink,Orange,Yellow
11/5/2022 15:52:20,Purple,Green,Yellow,Pink,Blue,Orange,Red
11/5/2022 16:01:13,Red,Purple,Pink,Yellow,Blue,Green,Orange
11/5/2022 23:14:59,Green,Red,Purple,Blue,Orange,Pink,Yellow
11/6/2022 10:00:04,Pink,Orange,Green,Purple,Blue,Red,Red
11/6/2022 10:18:34,Orange,Orange,Orange,Orange,Orange,Orange,Yellow
11/6/2022 10:19:57,Yellow,Green,Blue,Pink,Purple,Red,Orange
11/6/2022 10:20:43,Purple,Blue,Green,Pink,Red,Green,Orange
11/6/2022 10:21:08,Purple,Red,Blue,Pink,Orange,Blue,Yellow
11/6/2022 10:21:59,Purple,Pink,Blue,Red,Yellow,Green,Orange
11/6/2022 10:23:30,Purple,Green,Blue,Pink,Yellow,Red,Orange
11/6/2022 10:23:46,Green,Purple,Red,Blue,Pink,Orange,Yellow
11/6/2022 10:27:25,Purple,Blue,Yellow,Red,Orange,Green,Pink
11/6/2022 10:31:30,Orange,Yellow,Pink,Green,Blue,Purple,Red
11/6/2022 10:52:35,Green,Red,Blue,Orange,Purple,Pink,Yellow
11/6/2022 10:52:55,Pink,Blue,Yellow,Red,Orange,Green,Purple
11/6/2022 11:10:48,Orange,Green,Yellow,Blue,Red,Purple,Pink
